stationId,imageDate,imgPath,meteoDate,dew,humidity,precipitation,roadCondition,temperature C bellow 5cm,temperature C 0cm,temperature C 20cm,temperature C 2m,warnings,wind direction,speed[m/s],imageDate_t,imageDate_ts,cluster,time
757-1,13/11/2018 12:30,/save/757-1/3/1542112203_757-1.jpg,13/11/2018 12:20,6.5,52.2,none,dry,0,20.1,14.0,16.3,none,241,0.5,13/11/2018 12:30,304203,3,12:30:03
1686-0,3/12/2018 11:17,/save/1686-0/59/1543835859_1686-0.jpg,3/12/2018 11:20,3.8,86.6,unknown,wet,0,6.3,0.0,5.9,none/unknown,359,1.3,3/12/2018 11:17,2027859,3,11:17:39
179-0,22/12/2018 12:50,/save/179-0/36/1545483036_179-0.jpg,22/12/2018 12:50,4.3,88.6,none,wet,0,10.7,5.6,6.1,none,308,0.4,22/12/2018 12:50,3675036,1,12:50:36
146-0,17/11/2018 13:10,/save/146-0/0/1542460200_146-0.jpg,17/11/2018 13:00,-3.9,65.2,none,dry,0,9.1,5.1,1.9,none/unknown,92,1.8,17/11/2018 13:10,652200,3,13:10:00
53-0,18/11/2018 13:12,/save/53-0/78/1542546778_53-0.jpg,18/11/2018 14:09,-3.7,67.1,unknown,dry,0,4.9,0.0,1.6,none,317,0.0,18/11/2018 13:12,738778,3,13:12:58
1082-0,13/03/2019 11:30,/save/1082-0/35/1552476635_1082-0.jpg,13/03/2019 11:20,-2.4,56.7,none,dry,0,6.7,0.0,5.4,none,351,0.7,13/03/2019 11:30,10668635,0,11:30:35
1488-0,24/01/2019 12:58,/save/1488-0/87/1548334687_1488-0.jpg,24/01/2019 12:50,-9.5,79.1,none,moist,0,-2.6,-6.4,-6.4,medium warning,344,0.0,24/01/2019 12:58,6526687,2,12:58:07
495-2,15/12/2018 13:10,/save/495-2/49/1544879449_495-2.jpg,15/12/2018 13:10,-5.0,73.1,none,dry,0,1.7,0.0,-0.7,none,88,2.8,15/12/2018 13:10,3071449,1,13:10:49
1242-0,15/02/2019 13:10,/save/1242-0/27/1550236227_1242-0.jpg,15/02/2019 13:10,2.9,70.8,none,dry,0,12.3,0.0,7.9,none,63,0.6,15/02/2019 13:10,8428227,0,13:10:27
2014-1,20/12/2018 11:55,/save/2014-1/0/1545306900_2014-1.jpg,20/12/2018 11:55,-2.7,94.8,unknown,dry,0,5.5,0.0,-1.9,none,78,1.1,20/12/2018 11:55,3498900,1,11:55:00
1067-0,18/12/2018 13:12,/save/1067-0/58/1545138758_1067-0.jpg,18/12/2018 13:00,0.3,99.0,none,saline,0,2.6,0.0,0.5,none,101,0.0,18/12/2018 13:12,3330758,1,13:12:38
2014-1,25/12/2018 13:55,/save/2014-1/0/1545746100_2014-1.jpg,25/12/2018 13:53,0.0,99.9,unknown,dry,0,7.5,0.0,1.5,none,212,1.8,25/12/2018 13:55,3938100,1,13:55:00
1686-0,30/11/2018 13:17,/save/1686-0/59/1543583859_1686-0.jpg,30/11/2018 13:20,-7.5,65.2,unknown,dry,0,0.3,0.0,-1.8,none/unknown,359,0.1,30/11/2018 13:17,1775859,3,13:17:39
1181-0,25/02/2019 13:43,/save/1181-0/9/1551102209_1181-0.jpg,25/02/2019 13:50,-0.9,45.9,none,dry,0,12.4,0.0,10.2,none,316,0.0,25/02/2019 13:43,9294209,0,13:43:29
609-0,14/12/2018 11:54,/save/609-0/45/1544788445_609-0.jpg,14/12/2018 12:00,-1.3,87.6,none,dry,0,4.3,1.4,0.5,none,87,2.0,14/12/2018 11:54,2980445,1,11:54:05
VP1004-0,10/12/2018 12:40,/save/VP1004-0/4/1544445604_VP1004-0.jpg,10/12/2018 12:40,-0.1,72.0,none,dry,0,5.8,0.0,4.5,none,280,7.0,10/12/2018 12:40,2637604,1,12:40:04
1437-0,23/02/2019 12:52,/save/1437-0/22/1550926322_1437-0.jpg,23/02/2019 12:40,-10.2,47.2,none,dry,0,10.8,3.9,-0.2,none,359,0.0,23/02/2019 12:52,9118322,0,12:52:02
